date,price,type,pct_change
2016-01-07,458.05,major_high,
2016-01-15,364.33,global_low,-20.46
2016-01-20,420.23,local_high,15.34
2016-01-31,368.77,local_low,-12.25
2016-06-16,766.31,major_high,107.8
2016-06-22,596.12,local_low,-22.21
2016-07-02,703.7,local_high,18.05
2016-08-02,547.47,major_low,-22.2
2017-01-04,1154.73,major_high,110.92
2017-01-11,777.76,major_low,-32.65
2017-03-03,1274.99,major_high,63.93
2017-03-10,1116.72,local_low,-12.41
2017-03-15,1249.61,local_high,11.9
2017-03-18,973.82,local_low,-22.07
2017-03-21,1120.54,local_high,15.07
2017-03-24,937.52,major_low,-16.33
2017-05-24,2443.64,local_high,160.65
2017-05-27,2038.87,local_low,-16.56
2017-06-11,2958.11,major_high,45.09
2017-06-15,2464.58,local_low,-16.68
2017-06-23,2744.91,local_high,11.37
2017-07-16,1929.82,major_low,-29.69
2017-07-20,2817.6,local_high,46.0
2017-07-26,2529.45,local_low,-10.23
2017-09-01,4892.01,major_high,93.4
2017-09-14,3154.95,major_low,-35.51
2017-09-18,4065.2,local_high,28.85
2017-09-22,3630.7,local_low,-10.69
2017-11-08,7459.69,major_high,105.46
2017-11-12,5950.07,major_low,-20.24
2017-12-07,17899.7,local_high,200.83
2017-12-09,15178.2,local_low,-15.2
2017-12-16,19497.4,major_high,28.46
2017-12-22,13831.8,local_low,-29.06
2017-12-26,16099.8,local_high,16.4
2017-12-30,12952.2,major_low,-19.55
2018-01-06,17527.0,major_high,35.32
2018-01-17,11188.6,local_low,-36.16
2018-01-20,12899.2,local_high,15.29
2018-02-05,6955.27,major_low,-46.08
2018-02-20,11403.7,local_high,63.96
2018-02-25,9664.73,local_low,-15.25
2018-03-05,11573.3,major_high,19.75
2018-03-17,7916.88,local_low,-31.59
2018-03-21,8929.28,local_high,12.79
2018-04-06,6636.32,major_low,-25.68
2018-05-05,9858.15,major_high,48.55
2018-06-28,5903.44,major_low,-40.12
2018-07-24,8424.27,major_high,42.7
2018-08-10,6184.71,local_low,-26.58
2018-09-04,7361.66,local_high,19.03
2018-11-26,3779.13,local_low,-48.66
2018-11-29,4278.85,local_high,13.22
2018-12-15,3236.76,major_low,-24.35
2018-12-20,4134.44,local_high,27.73
2018-12-27,3654.83,local_low,-11.6
2019-01-06,4076.63,local_high,11.54
2019-02-07,3399.47,local_low,-16.61
2019-05-15,8205.17,local_high,141.37
2019-05-18,7271.21,local_low,-11.38
2019-05-27,8805.78,local_high,21.1
2019-06-09,7688.08,local_low,-12.69
2019-06-26,13016.23,major_high,69.3
2019-06-27,11182.81,local_low,-14.09
2019-06-28,12407.33,local_high,10.95
2019-07-01,10583.13,local_low,-14.7
2019-07-09,12573.81,local_high,18.81
2019-07-16,9477.64,major_low,-24.62
2019-07-20,10767.14,local_high,13.61
2019-07-27,9477.68,local_low,-11.98
2019-08-08,11966.41,major_high,26.26
2019-08-29,9510.2,local_low,-20.53
2019-09-03,10623.54,local_high,11.71
2019-10-24,7493.49,major_low,-29.46
2019-10-27,9551.71,major_high,27.47
2019-11-24,7047.92,local_low,-26.21
2019-11-29,7761.24,local_high,10.12
2019-12-17,6640.52,major_low,-14.44
2020-02-12,10326.05,major_high,55.5
2020-03-12,4970.79,major_low,-51.86
2020-03-24,6734.8,local_high,35.49
2020-03-29,5922.04,local_low,-12.07
2020-05-07,9951.52,local_high,68.04
2020-05-11,8601.8,local_low,-13.56
2020-06-01,10167.27,local_high,18.2
2020-06-27,9045.39,local_low,-11.03
2020-08-17,12254.4,local_high,35.48
2020-09-08,10131.52,local_low,-17.32
2020-11-24,19107.46,local_high,88.59
2020-11-27,17108.4,local_low,-10.46
2021-01-08,40797.61,major_high,138.47
2021-01-12,33922.96,local_low,-16.85
2021-01-14,39187.33,local_high,15.52
2021-01-27,30432.55,major_low,-22.34
2021-02-21,57539.95,major_high,89.07
2021-02-28,45137.77,major_low,-21.55
2021-03-13,61243.09,local_high,35.68
2021-03-25,51704.16,local_low,-15.58
2021-04-13,63503.46,major_high,22.82
2021-04-25,49004.25,local_low,-22.83
2021-05-08,58803.78,local_high,20.0
2021-05-19,37002.44,local_low,-37.07
2021-05-20,40782.74,local_high,10.22
2021-05-23,34770.58,local_low,-14.74
2021-05-26,39294.2,local_high,13.01
2021-05-29,34616.07,local_low,-11.91
2021-06-03,39208.77,local_high,13.27
2021-06-08,33472.63,major_low,-14.63
2021-06-15,40406.27,major_high,20.71
2021-06-25,31637.78,local_low,-21.7
2021-06-29,35867.78,local_high,13.37
2021-07-20,29807.35,major_low,-16.9
2021-09-06,52633.54,major_high,76.58
2021-09-21,40693.68,major_low,-22.68
2021-10-20,65992.84,local_high,62.17
2021-10-27,58482.39,local_low,-11.38
2021-11-08,67566.83,major_high,15.53
2022-01-22,35030.25,major_low,-48.15
2022-02-15,44575.2,local_high,27.25
2022-02-21,37075.28,local_low,-16.83
2022-03-01,44354.64,local_high,19.63
2022-03-07,38062.04,local_low,-14.19
2022-03-29,47465.73,major_high,24.71
2022-05-27,28627.57,local_low,-39.69
2022-05-31,31792.31,local_high,11.05
2022-06-18,19017.64,major_low,-40.18
2022-06-25,21502.34,local_high,13.07
2022-07-02,19242.26,local_low,-10.51
2022-07-08,21731.12,local_high,12.93
2022-07-12,19323.91,local_low,-11.08
2022-08-13,24424.07,major_high,26.39
2022-09-06,18837.67,local_low,-22.87
2022-09-12,22370.45,local_high,18.75
2022-09-21,18547.4,local_low,-17.09
2022-11-05,21282.69,local_high,14.75
2022-11-09,15880.78,local_low,-25.38
2022-11-10,17586.77,local_high,10.74
2022-11-21,15787.28,major_low,-10.23
2023-02-20,24829.15,local_high,57.27
2023-03-10,20187.24,local_low,-18.7
2023-04-14,30485.7,local_high,51.01
2023-06-14,25124.68,local_low,-17.59
2023-07-13,31476.05,major_high,25.28
2023-09-11,25162.65,major_low,-20.06
2024-01-08,46970.5,local_high,86.67
2024-01-22,39507.37,local_low,-15.89
2024-03-13,73083.5,major_high,84.99
2024-03-19,61912.77,local_low,-15.28
2024-04-08,71631.36,local_high,15.7
2024-05-01,58254.01,major_low,-18.68
2024-05-20,71448.2,major_high,22.65
2024-07-07,55849.11,major_low,-21.83
2024-07-28,68255.87,major_high,22.21
2024-08-05,53991.46,local_low,-20.9
2024-08-25,64333.54,local_high,19.16
2024-09-06,53948.75,major_low,-16.14
2024-12-17,106140.6,local_high,96.74
2024-12-30,92643.21,local_low,-12.72
2025-01-21,106146.27,major_high,14.58
2025-02-26,84347.02,local_low,-20.54
2025-03-02,94248.35,local_high,11.74
2025-03-10,78532.0,local_low,-16.68
2025-03-24,87498.91,local_high,11.42
2025-04-08,76271.95,major_low,-12.83
2025-08-13,123344.06,local_high,61.72
2025-08-31,108236.71,local_low,-12.25
2025-10-06,124752.53,global_high,15.26
2025-11-22,84648.36,local_low,-32.15
2026-01-14,96929.33,local_high,14.51
2026-02-05,62702.1,major_low,-35.31
2026-03-13,73580.6,local_high,17.35
